method,episodes,eligible_actions,n_duplicate,duplicate_rate,duplicate_ci_low,duplicate_ci_high,n_stale,stale_rate,stale_ci_low,stale_ci_high,n_escalated,escalation_rate,escalation_ci_low,escalation_ci_high,n_unsafe,unsafe_rate,unsafe_ci_low,unsafe_ci_high,median_ttr,cohens_h_vs_cold,n_invalidated
cold_restart,400,800,,0.625,0.5909295407573959,0.6578756964933262,,0.25,0.2212364664027642,0.28115305909579164,,0.0,0.0,0.004779050997111869,700,0.875,0.8502748996041586,0.8961408121480076,0.0,0.0,0
naive_retry,400,800,,0.0,0.0,0.004779050997111869,,0.25,0.2212364664027642,0.28115305909579164,,0.0,0.0,0.004779050997111869,200,0.25,0.2212364664027642,0.28115305909579164,0.0,-1.3716608545797797,0
verify_before_retry,400,800,,0.0,0.0,0.004779050997111869,,0.25,0.2212364664027642,0.28115305909579164,,0.0,0.0,0.004779050997111869,200,0.25,0.2212364664027642,0.28115305909579164,0.0,-1.3716608545797797,0
kinbridge_sync,400,800,,0.0,0.0,0.004779050997111869,,0.0,0.0,0.004779050997111869,,0.0,0.0,0.004779050997111869,0,0.0,0.0,0.004779050997111869,0.0,-2.4188584057763776,200
