episode_id,method,outage_duration,outage_profile,seed,episode_seed,key_scheme,ablation_row,replication_lag,topology,source_node,reconnect_node,ttr_seconds,epoch_guard_result,tau_star,scenario_id,n_actions,n_eligible,n_duplicate,n_stale,n_escalated,n_invalidated,n_unsafe,unsafe_action_rate
30,cold_restart,0,no_outage,42,1073242244100479450,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
31,cold_restart,0,no_outage,42,860236815442713795,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
32,cold_restart,0,no_outage,42,1872460575292197459,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
33,cold_restart,0,no_outage,42,6779577458268489126,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
34,cold_restart,0,no_outage,42,3991564903225597652,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
35,cold_restart,0,no_outage,42,5290419331391886181,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
36,cold_restart,0,no_outage,42,2558479878931588432,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
37,cold_restart,0,no_outage,42,4101563029464057521,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
38,cold_restart,0,no_outage,42,2277668531075607640,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
39,cold_restart,0,no_outage,42,1422821936482780879,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
40,cold_restart,0,no_outage,42,7149915996688020428,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
41,cold_restart,0,no_outage,42,847262296315053363,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
42,cold_restart,0,no_outage,42,2121954646261723289,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
43,cold_restart,0,no_outage,42,4068714619064476474,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
44,cold_restart,0,no_outage,42,9013275921993070968,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
